Starting run
3.5676: rohes
3.53391: tules
3.57019: rahed
3.58186: otary
3.50756: troad
3.54816: reman
3.51836: drats
3.50454: crans
3.5257: artic
3.52181: liard
3.51231: parol
3.57538: daces
3.55896: olein
3.54125: sabir
3.52397: lants
3.51793: sapor
3.58315: saver
3.52743: darts
3.5473: raids
3.54384: almes
3.56933: leare
3.53952: geals
3.5892: treys
3.54255: blaes
3.53261: rodes
3.57235: yarto
3.58143: hayle
3.55464: herls
3.54989: lepta
3.49546: tains
3.54125: meats
3.54816: losed
3.51965: roble
3.54471: teams
3.51231: piert
3.5784: kesar
3.55335: amine
3.52181: trads
3.56933: tarre
3.54644: arcos
3.54341: heats
3.53952: rides
3.57063: resty
3.54816: cites
3.5257: honer
3.57495: aryls
3.54384: holes
3.54816: tices
3.53391: meals
3.51965: sepal
3.57408: ousel
3.57495: rugae
3.49806: toils
3.49806: ronde
3.51361: nails
3.5689: fears
3.52959: tardo
3.50799: carns
3.53909: litas
3.54514: bales
3.54514: miter
3.55335: faine
3.58877: auris
3.55162: deary
3.5987: loave
3.52916: elint
3.50972: prent
3.57667: sayed
3.58099: noria
3.53175: pared
3.53909: mires
3.56242: napes
3.53477: peans
3.59698: iotas
3.53693: doles
3.55594: roads
3.54644: leaps
3.56631: agers
3.55594: bries
3.57624: ileac
3.52829: torah
3.5257: glair
3.54255: liens
3.51577: sonde
3.51188: tiled
3.49849: tians
3.56631: yeard
3.53175: crues
3.54039: swale
3.53434: miler
3.56544: rayed
3.52354: groat
3.55378: deros
3.48683: caple
3.50929: boart
3.5473: sheal
3.51188: coals
3.55335: dotes
3.5473: seity
3.55896: resod
3.52959: celts
3.56631: heros
3.55076: arete
3.61425: usnea
3.53607: simar
3.52484: sited
3.56242: hoars
3.58315: alowe
3.56112: toney
3.53261: telic
3.57408: haros
3.5905: stoai
3.54557: frise
3.52268: pores
3.54341: rauns
3.57754: lacey
3.55378: helot
3.55724: resid
3.53348: parge
3.57711: entia
3.58834: taver
3.54298: tache
3.51965: prial
3.4933: perst
3.52397: flane
3.54989: lodes
3.58359: getas
3.49978: trons
3.64968: toaze
3.54946: tepas
3.54212: gores
3.54773: banes
3.57365: names
3.5797: alkie
3.54168: ratus
3.56112: logie
3.54039: gator
3.52829: coats
3.54298: basen
3.53521: airth
3.57667: coati
3.48035: sault
3.54816: lutes
3.58661: wears
3.54687: rosti
3.56674: taube
3.58056: sehri
3.61555: uteri
3.54125: pairs
3.53952: slake
3.54212: eloin
3.52873: poral
3.50842: deist
3.51533: cones
3.59698: yager
3.58186: barye
3.54384: beats
3.54903: peris
3.54298: speir
3.52268: cuter
3.53089: ahent
3.54989: macer
3.57883: skear
3.55983: leams
3.54816: riads
3.54773: recon
3.51533: aport
3.59654: naker
3.56026: snead
3.49503: cripe
3.61857: aegis
3.57581: orcas
3.4946: drice
3.55594: meris
3.56415: intra
3.58877: rowie
3.52959: pilar
3.58661: auger
3.6: feria
3.51706: culet
3.55335: means
3.50238: pance
3.59957: vares
3.52829: scran
3.53737: wanle
3.58143: fates
3.60086: takes
3.45961: clast
3.54168: strad
3.52959: madre
3.50713: glace
3.53564: harls
3.56501: acted
3.53305: ropes
3.54212: caber
3.57063: redos
3.55551: coria
3.58013: cages
3.54298: corey
3.53477: septa
3.55162: steno
3.54212: scena
3.51015: racon
3.58488: aygre
3.53952: laced
3.55637: rimes
3.52311: shote
3.53002: besat
3.51188: morat
3.49806: slipe
3.52484: darns
3.51749: borel
3.59352: yenta
3.5378: oldie
3.55594: lards
3.58488: reaks
3.58056: bosie
3.53564: ripes
3.54082: doers
3.56803: sargo
3.57192: pieta
3.53737: mores
3.54082: blert
3.56976: tuyer
3.56112: merls
3.5365: stied
3.53737: derns
3.55335: sorda
3.57192: abers
3.59093: ither
3.54168: taped
3.54298: petri
3.52743: druse
3.54212: souce
3.59525: lytes
3.60994: yites
3.56069: enarm
3.52138: roins
3.52527: narco
3.48942: snirt
3.56026: hated
3.54557: raped
3.5473: noirs
3.53305: lited
3.54557: pelas
3.55378: cloye
3.58229: tyers
3.58963: riyal
3.56587: mairs
3.49676: salut
3.53693: tyran
3.52959: narcs
3.47948: crost
3.57451: hoers
3.52527: grone
3.55378: swire
3.5486: haled
3.55205: parti
3.54687: leish
3.49158: prest
3.61728: asker
3.55076: lidar
3.54816: enlit
3.53607: paris
3.51793: hance
3.53996: naric
3.53952: snary
3.53434: cures
3.53866: pated
3.55032: dorsa
3.56544: ranee
3.54082: comae
3.57019: shero
3.6: helio
3.56199: neaps
3.53348: praos
3.5067: spile
3.5676: acros
3.5676: gairs
3.5581: coyer
3.53391: rosin
3.50626: caned
3.55594: agone
3.62851: aiver
3.54514: liger
3.55767: twire
3.58359: beano
3.5676: hepar
3.5486: haets
3.51274: eland
3.59179: oscar
3.55292: noris
3.5784: horas
3.57365: nabes
3.57797: trefa
3.54384: beals
3.55637: enols
3.59957: erbia
3.54989: oncet
3.52354: brail
3.55162: amice
3.51922: gilet
3.57754: icers
3.58575: resaw
3.55032: mesal
3.54212: eliad
3.52052: ciels
3.54903: segol
3.60259: fayre
3.52181: blite
3.55292: opter
3.55248: heils
3.527: doest
3.55248: herns
3.60605: raves
3.56371: ament
3.60864: rasse
3.59395: twaes
3.51058: trins
3.57408: garis
3.55076: lunes
3.58575: arret
3.53391: argot
3.51361: speat
3.50497: brant
3.58402: hades
3.52268: strep
3.59698: lehrs
3.52354: aloin
3.49806: clame
3.54255: biter
3.54644: elsin
3.57106: tauon
3.5905: euros
3.56328: aspen
3.56156: deray
3.55983: arene
3.52354: sutra
3.50497: doner
3.52138: monte
3.54039: siroc
3.52268: toned
3.5473: irons
3.51577: ronts
3.53693: natis
3.52873: moste
3.50022: brast
3.53564: grame
3.61037: laver
3.6: ravel
3.56458: yarns
3.55378: ornis
3.56933: ryals
3.5473: sheol
3.546: poles
3.51188: salic
3.63369: airer
3.54255: doats
3.54039: tunes
3.53348: cento
3.54125: perts
3.54341: laity
3.51922: tinas
3.57279: toker
3.56717: ables
3.55076: oncer
3.54255: toads
3.58056: ricey
3.55421: capes
3.53348: coirs
3.54644: terms
3.6121: lieus
3.51793: macle
3.54341: rebit
3.51404: padle
3.52354: scape
3.55508: goles
3.51965: trued
3.54557: ragde
3.52786: sured
3.57063: valse
3.55032: crake
3.54428: radge
3.53261: tabor
3.55076: tides
3.58445: oleic
3.55292: geans
3.53002: calos
3.51404: blart
3.54471: nirls
3.57019: toges
3.56587: ribes
3.56587: fanes
3.56112: tragi
3.55378: delts
3.54082: cines
3.58704: wales
3.51102: scail
3.55724: beans
3.52829: preon
3.59741: mahoe
3.55508: forel
3.55853: certy
3.51447: thine
3.52743: caneh
3.5257: laics
3.63197: vitae
3.5879: siker
3.55421: dites
3.55896: repos
3.55421: melas
3.51015: ploat
3.5473: botel
3.55637: pager
3.56328: krait
3.54082: incle
3.58099: alate
3.52873: crios
3.51922: anils
3.59827: kales
3.55767: marge
3.55076: tacos
3.56976: roily
3.57667: oracy
3.56156: gaper
3.58013: tynes
3.56112: krone
3.57797: lerps
3.55076: scaur
3.53996: aroid
3.60346: anker
3.55637: liber
3.56587: metol
3.54773: harns
3.56156: delos
3.54773: rudie
3.57408: renga
3.53002: sharn
3.60994: oyers
3.58099: frena
3.54514: perns
3.57235: regna
3.56242: paces
3.54471: armil
3.546: topes
3.52916: sield
3.56242: helos
3.52397: stope
3.58315: bayer
3.53996: flote
3.53434: porta
3.64363: ideas
3.59222: narre
3.56371: eosin
3.53952: goral
3.59654: ureic
3.53909: proas
3.56803: betas
3.5568: spaed
3.56371: goers
3.52052: slaty
3.53261: plena
3.58618: reamy
3.53866: argol
3.53607: barde
3.546: oiled
3.51102: shite
3.57149: siree
3.5797: breis
3.5473: piers
3.56069: lopes
3.60864: lakes
3.55162: potes
3.58099: fries
3.56285: cesti
3.55767: loric
3.54644: speal
3.56933: loges
3.54384: bores
3.53866: amort
3.56587: trems
3.63413: tatie
3.51749: grice
3.51361: slaid
3.59784: kiter
3.62246: avise
3.55248: deash
3.5378: brent
3.53218: cents
3.62376: saser
3.56976: cames
3.61987: tater
3.59482: towie
3.58056: menta
3.55378: moles
3.56371: peaty
3.53305: deils
3.51836: toric
3.56026: rifte
3.52657: sithe
3.56674: tomes
3.58834: rueda
3.61685: lycea
3.57711: regos
3.55162: nards
3.49935: saunt
3.54644: argil
3.60691: easer
3.52354: laith
3.57711: feats
3.60691: volae
3.5365: hoten
3.61296: rater
3.52138: plies
3.55896: soree
3.54082: moner
3.53823: rands
3.59741: ogler
3.51922: cital
3.5797: awner
3.54773: baels
3.55464: nitro
3.56458: traik
3.52873: tical
3.49978: clats
3.53693: algor
3.51058: crome
3.55378: nache
3.58013: samey
3.5892: beaut
3.56026: motes
3.51447: prats
3.57279: nerds
3.48035: spart
3.4743: canst
3.54384: coley
3.59136: onery
3.58531: tubae
3.527: curat
3.61339: owrie
3.61901: ulyie
3.51749: traps
3.57581: folie
3.56631: apode
3.57495: ragis
3.54989: tamed
3.61857: rares
3.64449: taxer
3.56156: moers
3.50842: talcs
3.50065: dolce
3.53564: stoep
3.56501: ergot
3.55767: roams
3.57408: telae
3.5365: stime
3.5689: tarok
3.54341: raged
3.57451: riems
3.59914: cauri
3.57883: eniac
3.52959: trams
3.52354: eruct
3.5365: heald
3.56415: mensa
3.51533: caird
3.56069: rends
3.62073: feuar
3.53434: colas
3.56156: largo
3.62376: raser
3.58445: maces
3.49503: sprat
3.56976: lomes
3.53607: hails
3.54816: spean
3.54255: loads
3.55162: robes
3.58143: facer
3.54341: talus
3.58402: ogres
3.5378: geist
3.50324: cored
3.61555: youse
3.56285: saury
3.52657: parts
3.56242: tehrs
3.53348: amrit
3.57019: ramis
3.51706: trild
3.5797: lynes
3.58963: teaks
3.57365: feals
3.54255: poule
3.55292: frape
3.57408: korat
3.57754: biers
3.51577: droil
3.58013: setae
3.55853: pleas
3.55119: solah
3.52181: tarps
3.57927: gerah
3.54946: atrip
3.55076: leman
3.5473: noted
3.54384: brule
3.51361: cirls
3.55551: sabed
3.57192: liney
3.55508: sneap
3.53132: paled
3.59438: velar
3.57322: genas
3.56976: goras
3.55076: monie
3.51577: radon
3.55119: hones
3.54687: hosen
3.54384: lured
3.56069: froes
3.58143: weals
3.57495: cosey
3.58834: wries
3.52657: loden
3.55853: mated
3.60346: noyes
3.56156: boars
3.61814: yetis
3.52225: dotal
3.54514: marls
3.56544: gated
3.55637: harts
3.51015: sined
3.54557: douse
3.5797: fires
3.58143: apery
3.53952: miles
3.53952: coted
3.62505: reata
3.61339: liker
3.60086: shyer
3.54428: turme
3.55335: brame
3.55076: cosed
3.59266: kanes
3.56199: fores
3.62981: rorie
3.55378: delis
3.60864: poake
3.55853: datos
3.58359: wanes
3.55205: goest
3.57192: rabis
3.51879: sutor
3.54341: bared
3.55594: sowle
3.5905: rhyne
3.53045: piles
3.53737: genal
3.56631: troak
3.54082: repin
3.54644: nosed
3.64449: arses
3.54298: moten
3.59741: yelts
3.5676: sofar
3.61728: ethal
3.51404: crits
3.61987: ileus
3.58272: layed
3.6: nemas
3.60605: keirs
3.58315: crays
3.54212: brats
3.64363: vaute
3.50324: roust
3.50929: coled
3.61123: fayer
3.55076: pryse
3.54428: armed
3.59698: hoyle
3.53564: canto
3.56069: garbe
3.54168: puler
3.5149: ranid
3.52095: dinar
3.58661: rewan
3.53909: canso
3.57149: twier
3.58963: leafs
3.61944: leear
3.5581: rolag
3.546: clues
3.55248: sopra
3.56112: limes
3.55378: romal
3.63931: adieu
3.51533: coder
3.65184: rases
3.56328: apted
3.59525: salle
3.55464: incel
3.58315: yrneh
3.51145: stoln
3.59698: hoary
3.53909: dalts
3.53477: shred
3.53002: royst
3.55464: freit
3.66739: laxer
3.62592: nerka
3.66091: raxes
3.56544: aleft
3.53693: redon
3.54212: maron
3.52743: stipe
3.55335: legit
3.65745: rajes
3.58661: kores
3.60302: voile
3.57538: times
3.55551: latus
3.54428: trabs
3.52786: slued
3.54816: marts
3.5689: fetor
3.59093: rowel
3.55205: lotah
3.6: eusol
3.62289: yages
3.56458: hable
3.54212: ruled
3.57063: strag
3.6108: arett
3.63153: eskar
3.52225: hoast
3.54903: laids
3.59654: whare
3.54687: dhole
3.56976: sayon
3.53564: bairn
3.54946: dures
3.66134: razes
3.56026: swole
3.65313: aurae
3.57711: mites
3.54816: bonie
3.59136: sweir
3.58229: botes
3.5676: paoli
3.5784: idles
3.58834: wires
3.52743: piste
3.55335: boles
3.55421: costa
3.57063: isled
3.54471: soily
3.54989: lipes
3.54773: acned
3.57667: halos
3.57192: moras
3.68078: azote
3.52786: dials
3.52484: paned
3.52916: dicer
3.54428: bolar
3.59741: fetas
3.62376: areal
3.56501: loupe
3.57797: heads
3.60821: vales
3.57106: mased
3.63844: sears
3.58704: fairs
3.53477: clary
3.62419: talea
3.5257: tansy
3.57883: tiges
3.56976: goels
3.55248: pelon
3.55464: nodes
3.56242: tahrs
3.53737: pagle
3.5689: rouls
3.58359: moira
3.57149: lobes
3.66436: urare
3.54082: dents
3.58013: gites
3.52786: snoep
3.56501: raths
3.51879: suent
3.52181: cains
3.56501: olpes
3.66825: oaves
3.51404: coper
3.52397: loins
3.52786: noils
3.5486: minar
3.55205: tends
3.52138: chile
3.52441: cotan
3.55464: lobar
3.54687: diels
3.53607: plage
3.53737: flite
3.61771: yeads
3.52613: salop
3.5486: ayont
3.5676: onces
3.54384: shorl
3.58747: gades
3.60389: livre
3.5784: fared
3.59438: rokes
3.51577: clied
3.56587: troys
3.61166: reiks
3.54644: goats
3.59482: paedo
3.57927: dames
3.56587: treif
3.55032: goals
3.56285: gelts
3.50972: tuple
3.58099: ergos
3.58704: easle
3.5987: wairs
3.53564: riced
3.58359: serow
3.51188: cants
3.53521: antis
3.59914: weirs
3.57408: almeh
3.54341: grans
3.50108: clans
3.70194: quare
3.61296: auric
3.58013: amirs
3.57581: cogie
3.60432: pioye
3.54039: thirl
3.61253: ketas
3.50929: torcs
3.53218: stour
3.57451: lours
3.61901: laves
3.5987: cafes
3.53996: epact
3.56069: codes
3.55248: swile
3.55248: alcos
3.59136: yarco
3.54644: yrapt
3.56458: tyred
3.58186: beray
3.51577: coils
3.55421: brans
3.56458: loued
3.57451: amens
3.53521: pones
3.54255: boner
3.56415: brens
3.61598: salse
3.59136: lifer
3.60043: wetas
3.64622: oorie
3.57927: lowse
3.62721: ysame
3.53737: boral
3.54471: biner
3.58704: abets
3.59222: saheb
3.55983: orang
3.56631: twoer
3.56587: atocs
3.51663: maist
3.59654: leaks
3.61987: ashed
3.58099: safed
3.54298: dalis
3.53089: tuans
3.54039: wrast
3.55853: gluer
3.61425: aches
3.6216: ketol
3.56674: relet
3.54212: comte
3.64104: agues
3.55205: gaols
3.58402: alane
3.62894: areas
3.54039: thars
3.55464: shola
3.55421: biles
3.61296: keros
3.61296: serra
3.57106: geits
3.55248: shule
3.57106: maneh
3.58186: seamy
3.51879: lions
3.57797: arcus
3.52527: scute
3.52786: dulse
3.61469: daker
3.53952: sprue
3.62073: rears
3.57408: daurs
3.51058: claut
3.53823: hired
3.57927: rhime
3.6514: azole
3.52052: saith
3.54557: pelts
3.58747: orfes
3.56199: melts
3.62073: tasse
3.57667: douar
3.61123: ainee
3.59093: aulos
3.57192: bated
3.55335: sepad
3.6324: novae
3.53261: griot
3.53996: halon
3.52743: tined
3.62289: ostia
3.56631: grens
3.59654: weans
3.60216: relie
3.57624: bayle
3.59784: sewan
3.61814: avers
3.54039: praty
3.55335: cards
3.55594: trank
3.62851: bayes
3.527: taish
3.6121: faces
3.56847: besot
3.57408: based
3.53737: draco
3.53952: coaly
3.60389: waide
3.61296: raked
3.59741: siver
3.58661: genoa
3.61685: faery
3.52527: haint
3.5067: tronc
3.60518: raiks
3.54125: cited
3.53996: warst
3.5365: longe
3.53434: carny
3.61425: cytes
3.57667: ribas
3.58186: epris
3.60216: volte
3.59827: volet
3.58186: leady
3.5905: faros
3.57667: sowar
3.58575: leuco
3.55594: ulans
3.57192: boras
3.54212: pleon
3.60173: acmes
3.6: reifs
3.53996: meint
3.56156: glaur
3.56415: netop
3.55032: ticed
3.52138: corbe
3.64276: yeahs
3.58013: scray
3.61555: arefy
3.60216: ogles
3.67041: axite
3.55032: daric
3.56156: horme
3.64968: lehua
3.5067: clipe
3.55464: nagor
3.5054: daint
3.58747: pelau
3.56631: rudes
3.59006: hames
3.54903: barns
3.54471: tours
3.56501: hoied
3.60518: vanes
3.55162: gnarl
3.56285: thali
3.57624: grues
3.5473: speil
3.49935: doilt
3.57235: amide
3.55421: peons
3.53477: dital
3.54773: grein
3.59914: emirs
3.57883: erose
3.56458: luces
3.54644: karst
3.53866: chiel
3.5797: retie
3.51749: pails
3.57279: towse
3.6514: zante
3.59352: acerb
3.57538: spyre
3.48207: spalt
3.63197: slaes
3.59136: festa
3.58186: bites
3.57538: horis
3.55464: dants
3.53261: hiant
3.55162: glent
3.56501: plyer
3.48207: plast
3.5581: muter
3.61901: beaus
3.61598: refis
3.63801: aweto
3.58531: fader
3.56112: buret
3.55551: spuer
3.64924: aizle
3.59741: enate
3.55119: routs
3.57019: genro
3.55983: creds
3.55551: loche
3.56976: lends
3.56415: cutes
3.55767: poets
3.64968: axile
3.55292: ruble
3.60907: krais
3.53693: sabot
3.60389: orgue
3.60389: holey
3.60907: omers
3.60907: veals
3.63758: sales
3.52354: shoat
3.55724: naped
3.54212: ramin
3.55378: doris
3.58877: crare
3.61296: tokes
3.57279: sleer
3.56156: diets
3.58143: beaty
3.55162: alods
3.55205: galed
3.50972: coapt
3.53952: staun
3.58315: frati
3.65443: laevo
3.52916: luted
3.61555: tryke
3.57667: skite
3.53607: dines
3.58359: yaird
3.66436: latex
3.56803: surah
3.58359: strew
3.59741: agros
3.57149: duars
3.58834: fiars
3.54773: decan
3.54903: burse
3.57365: metis
3.60216: herma
3.63585: lovie
3.59438: slove
3.57581: odals
3.56415: atony
3.59093: autos
3.57019: verst
3.5784: ploye
3.56674: shoed
3.57797: pages
3.58229: gapes
3.51663: clime
3.56199: panto
3.59784: torte
3.55853: besit
3.53996: dirls
3.56026: urned
3.5568: moats
3.50108: crons
3.50065: smalt
3.51447: spail
3.59914: raupo
3.57279: lamed
3.57279: upter
3.55896: ardeb
3.58575: ochre
3.56674: ictal
3.60605: ceiba
3.57235: yodle
3.55983: roids
3.57797: terfs
3.59784: arked
3.5879: mesto
3.6121: karos
3.51965: dault
3.59698: caver
3.57451: floes
3.59784: abris
3.61469: avine
3.48855: prost
3.54903: craig
3.6095: louis
3.51577: teind
3.6095: heare
3.59741: aitus
3.60734: varec
3.54687: blent
3.54644: hider
3.62203: cavie
3.63974: sates
3.67387: retax
3.58099: diota
3.55205: cides
3.54125: terne
3.59611: ofter
3.61771: rakis
3.58531: toyed
3.57883: ropey
3.53002: blest
3.60778: koine
3.54255: mails
3.58272: togue
3.5365: trods
3.58747: escot
3.59741: curia
3.65011: tetra
3.53909: comer
3.59741: urges
3.53348: lined
3.54471: linos
3.5676: cardi
3.50972: bract
3.60259: eales
3.58834: wared
3.58531: psora
3.56415: hoper
3.54816: glute
3.54773: niger
3.56631: ditas
3.58359: filar
3.59395: fiers
3.56199: holed
3.52009: grist
3.54471: stend
3.53996: dorts
3.55032: nepit
3.55724: pures
3.62289: kiers
3.64708: kyrie
3.60389: onely
3.53823: gulet
3.59309: bagie
3.55076: dural
3.54212: clour
3.59136: owlet
3.61123: unary
3.62981: acker
3.57192: meath
3.62894: anear
3.61253: vires
3.61641: lokes
3.59352: mento
3.55594: stroy
3.60346: moria
3.63801: vireo
3.63153: naves
3.56976: mulie
3.59525: negro
3.58056: goary
3.57192: anele
3.57408: aimed
3.61166: servo
3.65788: zonae
3.63456: absey
3.60389: agley
3.60518: uredo
3.51965: clots
3.55551: milor
3.54903: coney
3.56069: loams
3.71274: ajies
3.58575: fated
3.56847: payor
3.59611: yamen
3.60389: fayne
3.56112: gaits
3.5987: weros
3.55724: derth
3.60346: titre
3.56458: taigs
3.60173: ybore
3.54125: maned
3.58704: ferns
3.56674: farls
3.58143: cetyl
3.56156: boats
3.52181: coits
3.53564: drome
3.6216: rille
3.52397: sloid
3.5162: ponce
3.54644: roman
3.64449: ohias
3.66782: taxes
3.56112: frats
3.67041: tajes
3.62549: kayle
3.55464: matlo
3.58186: gleis
3.55594: slorm
3.58531: yince
3.5797: lords
3.65616: rahui
3.57365: altho
3.60302: roose
3.59438: inerm
3.5797: luger
3.6406: tates
3.54946: tinge
3.54816: tunas
3.61166: rotte
3.53132: diact
3.51361: crout
3.64968: abyes
3.56544: renig
3.61296: resow
3.5879: frets
3.49849: corns
3.62376: lythe
3.5987: sweal
3.54514: porge
3.61555: reran
3.59179: pawer
3.65313: tases
3.56847: suber
3.61339: owler
3.57106: ryots
3.56069: limen
3.54255: pents
3.6013: trier
3.59957: viler
3.60432: aspro
3.58661: inarm
3.50626: spait
3.56328: dices
3.64017: ukase
3.56933: orach
3.59438: sawed
3.5473: swart
3.58445: drave
3.56674: derma
3.56069: bones
3.60562: ecads
3.5784: outed
3.54557: pines
3.61037: yules
3.62203: vairs
3.5473: rangs
3.5689: freon
3.54039: spred
3.58531: lathi
3.52181: coble
3.6121: selva
3.54212: runed
3.52916: tauld
3.56933: tyros
3.6095: rivel
3.57279: togas
3.71274: oases
3.56544: urson
3.62765: antae
3.56328: afrit
3.56631: hains
3.57581: nomes
3.52181: colts
3.54989: percs
3.55637: andro
3.55637: crags
3.5905: homie
3.60691: treks
3.58013: etics
3.654: looie
3.55594: nides
3.62765: yerba
3.60346: abune
3.57279: doseh
3.58056: toady
3.546: tophe
3.58056: poyse
3.58186: remap
3.56587: mines
3.55983: skart
3.61987: dosai
3.56371: gnars
3.60432: drays
3.58229: meads
3.56026: toped
3.56976: garni
3.58402: hules
3.59266: slive
3.5594: lotic
3.5987: games
3.59222: alefs
3.52613: palis
3.60216: mages
3.54773: dirts
3.5905: yealm
3.56371: farts
3.56501: mures
3.59741: parve
3.63283: unais
3.58661: tawed
3.5905: caese
3.57581: uptie
3.55162: dules
3.52873: pored
3.57279: lunas
3.5905: libra
3.58575: duras
3.58272: lohan
3.63456: sanes
3.53952: caped
3.56803: belts
3.57754: lowne
3.59741: eidos
3.5689: aleph
3.57279: muser
3.64492: ravey
3.58963: karts
3.59482: wader
3.55162: thiol
3.56415: beath
3.59525: octas
3.5784: ulnas
3.58963: warts
3.52225: plats
3.61641: lorel
3.55983: copes
3.60778: fades
3.57538: meany
3.55594: poted
3.58445: goyle
3.68337: aiyee
3.63585: haver
3.56285: acton
3.54903: stude
3.60648: alews
3.54082: chert
3.66566: tozie
3.5797: hosed
3.60173: hawse
3.61728: koras
3.67041: korai
3.64363: zlote
3.57451: sowne
3.6108: ouens
3.59395: sorer
3.59914: noahs
3.60562: kerns
3.56156: lands
3.56328: flies
3.59957: lowes
3.56587: locis
3.57106: baits
3.61512: estoc
3.52743: capot
3.67991: laxes
3.57063: unred
3.5905: boets
3.67214: lases
3.58445: moyle
3.55378: cimar
3.53521: spial
3.55248: larch
3.70626: seiza
3.6324: tegua
3.57019: yodel
3.56933: apiol
3.53996: corni
3.63629: seals
3.5473: antsy
3.63456: bohea
3.54082: sieth
3.67819: lazes
3.54428: paced
3.61555: carer
3.55119: peins
3.61469: soole
3.5594: chela
3.65875: oaked
3.61555: nugae
3.56933: donas
3.59309: pacey
3.53909: bails
3.59741: aidos
3.62765: hosey
3.57322: layin
3.59525: fleas
3.5486: feist
3.55594: mercs
3.54946: lints
3.64752: sires
3.56933: adits
3.58229: bepat
3.56112: thein
3.59136: reink
3.63326: yurta
3.55119: aunts
3.59914: kraut
3.56933: rente
3.62419: rives
3.56631: named
3.52916: patin
3.60346: trews
3.54255: tuned
3.6108: adios
3.55076: ligne
3.58402: segno
3.53737: argon
3.56458: holme
3.58359: heaps
3.61469: cakes
3.59568: gynae
3.55637: baled
3.53952: halts
3.54773: tapis
3.65875: axone
3.58143: opals
3.54168: lapis
3.58488: meson
3.55637: denis
3.63067: taiko
3.56631: carpi
3.50972: sluit
3.5905: hards
3.64276: carex
3.527: clept
3.53261: bluet
3.58834: tuina
3.57063: capri
3.56112: cadge
3.58315: eilds
3.59395: leres
3.57495: rubel
3.6432: sizer
3.58056: centu
3.56976: teres
3.63067: tikes
3.59482: roves
3.56458: meins
3.55378: sidhe
3.57538: pruta
3.55378: talcy
3.55464: coarb
3.57192: snarf
3.61339: lesbo
3.59266: tsadi
3.56544: nuder
3.58618: rafts
3.57711: goris
3.57495: octan
3.57365: caged
3.57624: deare
3.5797: peare
3.65011: rozet
3.56328: ludes
3.57538: praus
3.60475: gyres
3.61469: verts
3.54341: idant
3.6013: decos
3.62765: sorex
3.64276: savey
3.57063: bines
3.5676: poley
3.51274: coned
3.56501: staig
3.63542: kites
3.56544: cagot
3.59438: leone
3.56501: crems
3.56631: clave
3.6: styed
3.61685: dreys
3.58013: enorm
3.58575: syrah
3.55767: sdein
3.54946: grots
3.59222: rumes
3.54082: hault
3.55162: spode
3.55421: penis
3.54082: rutin
3.63931: kades
3.62894: vesta
3.56285: sherd
3.57883: calve
3.51102: horst
3.57365: nurls
3.59525: gaurs
3.60346: likes
3.60562: dryas
3.59741: owres
3.62246: fouer
3.55248: hents
3.65097: sixer
3.56501: blets
3.61425: voars
3.54168: gride
3.62549: eyots
3.5676: trigo
3.55853: creps
3.57667: files
3.58099: wiles
3.58618: pilao
3.58531: bouse
3.59006: gryce
3.52484: proin
3.59395: henry
3.60346: huers
3.6311: mauri
3.63153: seats
3.57408: moans
3.58488: weils
3.55292: inapt
3.60648: degas
3.56587: gents
3.58488: gular
3.5486: malis
3.58747: begar
3.59827: foule
3.64492: ansae
3.58445: trees
3.61425: orgia
3.62808: lotte
3.52268: clits
3.55205: trogs
3.54903: mpret
3.59568: motey
3.54773: salmi
3.5892: snoke
3.59352: scrag
3.59827: volar
3.56501: beton
3.55594: actin
3.51404: coden
3.55983: treen
3.57451: cunei
3.56847: brios
3.54384: carom
3.58747: peags
3.5797: herds
3.62419: yerds
3.6013: larks
3.53045: ahint
3.58013: foals
3.56415: ering
3.59395: tynde
3.53434: roped
3.53909: turns
3.53045: doper
3.56674: tamis
3.53564: cured
3.61685: etuis
3.58445: hemal
3.60346: ocher
3.58272: beads
3.70022: quate
3.55421: caids
3.53477: spule
3.56026: borna
3.58359: pyres
3.53737: cauls
3.52441: plans
3.62462: ervil
3.58575: bento
3.65918: seirs
3.52268: craps
3.54557: butle
3.58704: cluey
3.55983: piets
3.60043: larum
3.5987: bigae
3.57279: denay
3.60691: darre
3.54341: pirls
3.53175: poled
3.56458: trims
3.58186: comes
3.55162: agist
3.56501: rigol
3.62981: caves
3.57019: elops
3.63153: levas
3.56717: cedis
3.56026: laths
3.5905: soken
3.52397: prion
3.62073: whear
3.59438: doura
3.56803: linac
3.55896: gable
3.546: baned
3.62635: teats
3.5676: slype
3.59438: venal
3.60518: teaed
3.59136: lifes
3.56976: godet
3.49287: clint
3.53477: carps
3.54168: pains
3.57711: dolia
3.59741: teade
3.59525: lyted
3.53391: porin
3.61857: iftar
3.57063: dwale
3.5987: rudas
3.61901: yards
3.57322: stere
3.61123: parae
3.53909: mired
3.60259: skean
3.58877: beany
3.55767: nopal
3.55508: grits
3.546: nodal
3.66436: janes
3.63758: viers
3.56631: ergon
3.58229: giros
3.61598: roshi
3.62073: hayed
3.51533: spirt
3.55205: parly
3.57581: rowen
3.59525: nirly
3.58488: redly
3.58186: abrin
3.52743: shent
3.58531: ayins
3.57192: reest
3.64276: arias
3.54773: douce
3.5676: bents
3.58445: droke
3.62505: sores
3.5879: tabis
3.5905: harim
3.60821: talar
3.53089: ratch
3.69071: zoeal
3.6095: saved
