Starting run
3.5797: meaty
3.58186: towel
3.63888: usage
3.49806: slept
3.53866: staid
3.50842: spelt
3.53132: decal
3.56285: tower
3.50886: pride
3.60216: trite
3.57667: refit
3.52484: smelt
3.55032: goner
3.58272: intro
3.55767: ascot
3.52829: olden
3.55076: glean
3.61339: taste
3.53305: copse
3.54946: noble
3.60605: lower
3.53996: comet
3.53218: beard
3.56544: sweat
3.49417: shalt
3.56976: scary
3.55594: octal
3.55637: hoard
3.56544: opine
3.52916: tidal
3.54212: chair
3.52916: strap
3.61728: terra
3.62721: suave
3.54255: super
3.53305: maple
3.53391: adorn
3.5378: baron
3.55076: wrest
3.51274: paint
3.55248: dream
3.52959: stand
3.53823: decor
3.55508: apron
3.59266: stoke
3.61166: state
3.56242: pesto
3.54125: terse
3.56242: dairy
3.57149: diary
3.6203: craze
3.58963: patio
3.59784: easel
3.58877: savor
3.53693: prime
3.55248: pecan
3.50367: pried
3.54039: groan
3.59395: solve
3.54514: force
3.55119: roach
3.55724: story
3.54989: scope
3.53521: blade
3.52397: scorn
3.6: rivet
3.62721: arena
3.55248: filet
3.55292: cheat
3.6419: value
3.60389: voter
3.55378: torus
3.57451: cease
3.55248: tardy
3.53737: reign
3.60821: navel
3.51015: spice
3.59957: brake
3.5378: credo
3.55464: uncle
3.52397: bloat
3.5797: sugar
3.53823: crude
3.55076: grope
3.53477: singe
3.56674: serum
3.55724: shard
3.57883: melon
3.58186: lemon
3.66782: relax
3.56631: mealy
3.60864: eaten
3.54125: chose
3.54298: debar
3.5784: adept
3.54687: broil
3.57711: irony
3.59179: whale
3.53002: crash
3.59438: lemur
3.58229: piano
3.60216: cagey
3.58229: creak
3.54946: shied
3.56458: guile
3.60432: adobe
3.59654: abode
3.56544: bluer
3.5594: erupt
3.53564: gripe
3.6946: azure
3.61469: lover
3.63413: usher
3.56847: truly
3.56458: ounce
3.56458: cigar
3.55292: bread
3.62721: rehab
3.6: valor
3.52441: plain
3.59654: token
3.58963: abide
3.60562: steak
3.56112: organ
3.56156: ample
3.56976: tuber
3.55853: reset
3.58661: mouse
3.57019: boule
3.56242: finer
3.61253: liver
3.53693: solid
3.63283: maker
3.61339: verso
3.55032: pedal
3.56674: delay
3.51188: sport
3.50367: splat
3.55076: sleet
3.54341: bride
3.54946: retch
3.50713: court
3.54687: party
3.50713: blast
3.49719: print
3.56803: cargo
3.5473: probe
3.60734: stove
3.61944: image
3.60432: trait
3.50626: short
3.51404: chart
3.52181: spent
3.56371: grime
3.56631: nasty
3.60518: wager
3.57495: guise
3.54082: giant
3.58445: shake
3.57495: homer
3.61123: grave
3.57797: flora
3.55853: float
3.546: blame
3.56156: phone
3.63499: olive
3.55335: waist
3.58575: rebut
3.55853: aloft
